category;gtin;shop_sku;ean;sku;product-id;product-id-type;title;Brand-root-class;Brand;product_description;images.main_image;images.secondary_image;specifications.lying_surface_width_cm;specifications.lying_surface_length_cm;specifications.manufacturer_warranty_years;Color;specifications.color;Material;specifications.main_material;DimensionWidth;specifications.width_cm;DimensionDepthLength;specifications.length_depth_cm;DimensionHeight;specifications.height_cm;brand;name [de];description [de];leadtime-to-ship;main_picture;DistributorName;DistributorStreet;DistributorZip;DistributorCity;DistributorCountry;price;state;quantity;offer-description;product_reference_price
mkp-C3C1C15C27;4062292581243;4062292581243;4062292581243;4062292581243;4062292581243;4062292581243;Modernes Ecksofa U-Form Wohnlandsft Sofa Garnitur 3tlg. Luxus Neu;brand_MKT1371;brand_MKT1371;"Diese moderne U-Form Wohnlandschaft ist ein luxuriöses Ecksofa, das Ihrem Wohnzimmer einen Hauch von Eleganz verleiht. Mit einer Länge von ca. 620 cm, einer Breite von ca. 100 cm und einer Höhe von ca. 75 cm bietet dieses Sofa aus echtem Holz viel Platz zum Entspannen. Die Farbe ist frei wählbar, und Sie finden eine Vielzahl von Optionen unter dem Reiter ""Farben"". Das zeitgemäße Design und die hochwertigen Materialien machen dieses Sofa zu einem echten Blickfang in Ihrem Zuhause.";https://varvara.de/NEW_JOBS/28_Absynth/GENERAL/7/4tlg.Set_Ecksofa_2Rund_Hocker.jpg;"https://varvara.de/NEW_JOBS/28_Absynth/GENERAL/7/x1.jpg;https://varvara.de/NEW_JOBS/28_Absynth/GENERAL/7/x11.jpg;https://varvara.de/ROPZ/Aspen.jpg;https://varvara.de/ROPZ/Casablanca.jpg;https://varvara.de/ROPZ/Amore.jpg;https://varvara.de/ROPZ/Cosmic.jpg;https://varvara.de/ROPZ/Granada.jpg;https://varvara.de/ROPZ/Ontario.jpg;https://varvara.de/ROPZ/Soft.jpg";1;1;2 Jahre;color_gray;gray;material_wood;wood;100;100;620;620;75;75;brand_MKT1371;Modernes Ecksofa U-Form Wohnlandsft Sofa Garnitur 3tlg. Luxus Neu;"Diese moderne U-Form Wohnlandschaft ist ein luxuriöses Ecksofa, das Ihrem Wohnzimmer einen Hauch von Eleganz verleiht. Mit einer Länge von ca. 620 cm, einer Breite von ca. 100 cm und einer Höhe von ca. 75 cm bietet dieses Sofa aus echtem Holz viel Platz zum Entspannen. Die Farbe ist frei wählbar, und Sie finden eine Vielzahl von Optionen unter dem Reiter ""Farben"". Das zeitgemäße Design und die hochwertigen Materialien machen dieses Sofa zu einem echten Blickfang in Ihrem Zuhause.";60;https://varvara.de/NEW_JOBS/28_Absynth/GENERAL/7/4tlg.Set_Ecksofa_2Rund_Hocker.jpg;AEA GmbH & Co. KG;Am Flugplatz 28;88483;Burgrieden;country_DE;4949.00;11;20;"Introducing the modern U-shaped living landscape, a luxurious corner sofa set that will elevate your living room with a touch of elegance. With dimensions of approximately 620 cm in length, 100 cm in width, and 75 cm in height, this sofa made of genuine wood offers ample space for relaxation. Choose your preferred color from a wide range of options available under the ""Colors"" tab. Enhance your living space with this contemporary design and high-quality materials. Price: 4949 euro. Delivery in 60 days.";5840.00
mkp-C3C1C15C27;4062292581236;4062292581236;4062292581236;4062292581236;4062292581236;4062292581236;Modernes Ecksofa Luxus Wohnlandschaft Design Möbel Ecksofa Neu;brand_MKT1371;brand_MKT1371;"Modernes Ecksofa Luxus Wohnlandschaft Design Möbel Ecksofa Neu. Dieses Ecksofa besticht durch sein modernes Design und seine luxuriöse Ausstrahlung. Mit einer Länge von ca. 260 cm, einer Breite von ca. 120 cm und einer Höhe von ca. 75 cm bietet es ausreichend Platz und Komfort. Das Innengestell aus echtem Holz sorgt für Stabilität und Langlebigkeit. Die Farbe des Sofas ist frei wählbar, und Sie finden eine Vielzahl von Farboptionen unter dem Reiter ""Farben"". Ein stilvolles und zeitgemäßes Möbelstück für Ihr Zuhause.";https://varvara.de/NEW_JOBS/28_Absynth/GENERAL/6/Ecksofa_Rund.jpg;"https://varvara.de/ROPZ/Aspen.jpg;https://varvara.de/ROPZ/Casablanca.jpg;https://varvara.de/ROPZ/Amore.jpg;https://varvara.de/ROPZ/Cosmic.jpg;https://varvara.de/ROPZ/Granada.jpg;https://varvara.de/ROPZ/Ontario.jpg;https://varvara.de/ROPZ/Soft.jpg";1;1;2 Jahre;color_green;green;material_wood;wood;120;120;260;260;75;75;brand_MKT1371;Modernes Ecksofa Luxus Wohnlandschaft Design Möbel Ecksofa Neu;"Modernes Ecksofa Luxus Wohnlandschaft Design Möbel Ecksofa Neu. Dieses Ecksofa besticht durch sein modernes Design und seine luxuriöse Ausstrahlung. Mit einer Länge von ca. 260 cm, einer Breite von ca. 120 cm und einer Höhe von ca. 75 cm bietet es ausreichend Platz und Komfort. Das Innengestell aus echtem Holz sorgt für Stabilität und Langlebigkeit. Die Farbe des Sofas ist frei wählbar, und Sie finden eine Vielzahl von Farboptionen unter dem Reiter ""Farben"". Ein stilvolles und zeitgemäßes Möbelstück für Ihr Zuhause.";60;https://varvara.de/NEW_JOBS/28_Absynth/GENERAL/6/Ecksofa_Rund.jpg;AEA GmbH & Co. KG;Am Flugplatz 28;88483;Burgrieden;country_DE;3549.00;11;20;"Introducing the Modern Corner Sofa Luxury Living Landscape Design Furniture Corner Sofa New. Elevate your living space with this modern corner sofa that exudes luxury and style. Measuring approximately 260 cm in length, 120 cm in width, and 75 cm in height, this sofa offers ample space and comfort. Crafted with a genuine wood frame for durability. Choose your preferred color from a range of options available under the ""Colors"" tab. Price: 3549 euro. Delivery in 60 days. Transform your home with this stylish and contemporary furniture piece.";4190.00
mkp-C3C1C15C27;4062292581212;4062292581212;4062292581212;4062292581212;4062292581212;4062292581212;XXL Luxus Sofa Sitz Sofas Stoff Wohnzimmer Design Couchen Polster Modern 590;brand_MKT1371;brand_MKT1371;"Dieses XXL Luxus Sofa ist ein echtes Highlight für Ihr Wohnzimmer. Mit einer Länge von ca. 590 cm, einer Breite von ca. 110 cm und einer Höhe von ca. 70 cm bietet es ausreichend Platz zum Entspannen. Das Sofa ist in verschiedenen Farben erhältlich, die Sie unter dem Reiter ""Farben"" finden. Es besteht aus hochwertigem Stoff oder Premium Kunstleder der Gruppe II (+ 199,00 Euro) und verfügt über ein stabiles Innengestell aus echtem Holz.";https://varvara.de/NEW_JOBS/28_Absynth/GENERAL/33/Ecksofa.jpg;"https://varvara.de/ROPZ/Aspen.jpg;https://varvara.de/ROPZ/Casablanca.jpg;https://varvara.de/ROPZ/Amore.jpg;https://varvara.de/ROPZ/Cosmic.jpg;https://varvara.de/ROPZ/Granada.jpg;https://varvara.de/ROPZ/Ontario.jpg;https://varvara.de/ROPZ/Soft.jpg";1;1;2 Jahre;color_gray;gray;material_wood;wood;110;110;590;590;70;70;brand_MKT1371;XXL Luxus Sofa Sitz Sofas Stoff Wohnzimmer Design Couchen Polster Modern 590;"Dieses XXL Luxus Sofa ist ein echtes Highlight für Ihr Wohnzimmer. Mit einer Länge von ca. 590 cm, einer Breite von ca. 110 cm und einer Höhe von ca. 70 cm bietet es ausreichend Platz zum Entspannen. Das Sofa ist in verschiedenen Farben erhältlich, die Sie unter dem Reiter ""Farben"" finden. Es besteht aus hochwertigem Stoff oder Premium Kunstleder der Gruppe II (+ 199,00 Euro) und verfügt über ein stabiles Innengestell aus echtem Holz.";60;https://varvara.de/NEW_JOBS/28_Absynth/GENERAL/33/Ecksofa.jpg;AEA GmbH & Co. KG;Am Flugplatz 28;88483;Burgrieden;country_DE;8349.00;11;20;"Transform your living room with this XXL luxury sofa. Measuring approximately 590 cm in length, 110 cm in width, and 70 cm in height, this sofa provides ample space for relaxation. Choose from a variety of colors available under the ""Colors"" tab. Crafted from premium fabric or Group II premium faux leather (+ €199.00), with a sturdy wooden frame, this sofa exudes modern elegance. Price: €8349.00. Delivery in 60 days. Make a statement with this luxurious piece.";9190.00
mkp-C3C1C15C27;4062292581205;4062292581205;4062292581205;4062292581205;4062292581205;4062292581205;Modernes Ecksofa Luxus Couch Ecksofas Wohnzimmermöbel Designer Stil Neu;brand_MKT1371;brand_MKT1371;Modernes Ecksofa Luxus Couch Ecksofas Wohnzimmermöbel Designer Stil Neu. Maße: 520 x 120 x 75 cm. Länge: ca. 260 cm. Breite: ca. 120 cm. Höhe: ca. 75 cm. Farbe: Freie Farbwahl. Material: Innengestell aus echtem Holz.;https://varvara.de/NEW_JOBS/28_Absynth/GENERAL/30/2tlg.Rundcouch.jpg;"https://varvara.de/NEW_JOBS/28_Absynth/GENERAL/30/x4.jpg;https://varvara.de/ROPZ/Aspen.jpg;https://varvara.de/ROPZ/Casablanca.jpg;https://varvara.de/ROPZ/Amore.jpg;https://varvara.de/ROPZ/Cosmic.jpg;https://varvara.de/ROPZ/Granada.jpg;https://varvara.de/ROPZ/Ontario.jpg;https://varvara.de/ROPZ/Soft.jpg";1;1;2 Jahre;color_orange;Orange;material_wood;wood;120;120;520;520;75;75;brand_MKT1371;Modernes Ecksofa Luxus Couch Ecksofas Wohnzimmermöbel Designer Stil Neu;Modernes Ecksofa Luxus Couch Ecksofas Wohnzimmermöbel Designer Stil Neu. Maße: 520 x 120 x 75 cm. Länge: ca. 260 cm. Breite: ca. 120 cm. Höhe: ca. 75 cm. Farbe: Freie Farbwahl. Material: Innengestell aus echtem Holz.;60;https://varvara.de/NEW_JOBS/28_Absynth/GENERAL/30/2tlg.Rundcouch.jpg;AEA GmbH & Co. KG;Am Flugplatz 28;88483;Burgrieden;country_DE;6999.00;11;20;This modern luxury corner sofa will elevate your living room with its designer style. Dimensions: 520 x 120 x 75 cm. Length: approx. 260 cm. Width: approx. 120 cm. Height: approx. 75 cm. Choose from a variety of colors. The inner frame is made of real wood. Price: 6999 euro. Delivery in 60 days.;7700.00
mkp-C3C1C15C27;4062292581199;4062292581199;4062292581199;4062292581199;4062292581199;4062292581199;Modernes Ecksofa L-Form Couch Stoffmöbel Wohnzimmermöbel Design Sofas;brand_MKT1371;brand_MKT1371;Modernes Ecksofa in L-Form für das Wohnzimmer. Mit einer Länge von ca. 282 cm, einer Breite von ca. 107 cm und einer Tiefe von ca. 170 cm bietet dieses Ecksofa aus echtem Holz viel Platz zum Entspannen. Die Höhe von ca. 77 cm sorgt für eine angenehme Sitzposition. Wählen Sie Ihre Lieblingsfarbe aus einer Vielzahl von Optionen unter dem Reiter 'Farben'. Ein stilvolles Design und hochwertiges Material machen dieses Ecksofa zu einem Blickfang in Ihrem Zuhause.;https://varvara.de/NEW_JOBS/28_Absynth/GENERAL/3/0-Ecksofa.jpg;"https://varvara.de/ROPZ/Aspen.jpg;https://varvara.de/ROPZ/Casablanca.jpg;https://varvara.de/ROPZ/Amore.jpg;https://varvara.de/ROPZ/Cosmic.jpg;https://varvara.de/ROPZ/Granada.jpg;https://varvara.de/ROPZ/Ontario.jpg;https://varvara.de/ROPZ/Soft.jpg";1;1;2 Jahre;color_white;white;material_wood;wood;170;170;282;282;77;77;brand_MKT1371;Modernes Ecksofa L-Form Couch Stoffmöbel Wohnzimmermöbel Design Sofas;Modernes Ecksofa in L-Form für das Wohnzimmer. Mit einer Länge von ca. 282 cm, einer Breite von ca. 107 cm und einer Tiefe von ca. 170 cm bietet dieses Ecksofa aus echtem Holz viel Platz zum Entspannen. Die Höhe von ca. 77 cm sorgt für eine angenehme Sitzposition. Wählen Sie Ihre Lieblingsfarbe aus einer Vielzahl von Optionen unter dem Reiter 'Farben'. Ein stilvolles Design und hochwertiges Material machen dieses Ecksofa zu einem Blickfang in Ihrem Zuhause.;60;https://varvara.de/NEW_JOBS/28_Absynth/GENERAL/3/0-Ecksofa.jpg;AEA GmbH & Co. KG;Am Flugplatz 28;88483;Burgrieden;country_DE;5799.00;11;20;Upgrade your living room with this modern L-shaped corner sofa. Measuring approximately 282 cm in length, 107 cm in width, and 170 cm in depth, this corner sofa made of real wood offers ample space for relaxation. Choose your preferred color from a range of options under the 'Colors' tab. Priced at 5799 euros, with a delivery time of 60 days, this stylish and comfortable sofa is the perfect addition to your home.;6380.00
mkp-C3C3C2C10;4062292581182;4062292581182;4062292581182;4062292581182;4062292581182;4062292581182;Moderner Esszimmerstuhl Luxus Stühle Polstermöbel Stoff Design Holz Neu;brand_MKT1371;brand_MKT1371;"Moderner Esszimmerstuhl Luxus Stühle Polstermöbel Stoff Design Holz Neu. Dieser Stuhl besticht durch sein modernes Design und Luxusausstrahlung. Mit einer Länge von ca. 55 cm, einer Breite von ca. 49 cm und einer Höhe von ca. 88 cm passt er perfekt in jedes Esszimmer. Der Stuhl ist in verschiedenen Farben erhältlich, die Sie unter dem Reiter ""Farben"" finden. Das Innengestell besteht aus echtem Holz, was für Stabilität und Langlebigkeit sorgt.";https://varvara.de/NEW_JOBS/28_Absynth/GENERAL/27/1xSessel.jpg;"https://varvara.de/NEW_JOBS/28_Absynth/GENERAL/26/x6.jpg;https://varvara.de/ROPZ/Aspen.jpg;https://varvara.de/ROPZ/Casablanca.jpg;https://varvara.de/ROPZ/Amore.jpg;https://varvara.de/ROPZ/Cosmic.jpg;https://varvara.de/ROPZ/Granada.jpg;https://varvara.de/ROPZ/Ontario.jpg;https://varvara.de/ROPZ/Soft.jpg";1;1;;color_gray;gray;material_wood;wood;49;49;55;55;88;88;brand_MKT1371;Moderner Esszimmerstuhl Luxus Stühle Polstermöbel Stoff Design Holz Neu;"Moderner Esszimmerstuhl Luxus Stühle Polstermöbel Stoff Design Holz Neu. Dieser Stuhl besticht durch sein modernes Design und Luxusausstrahlung. Mit einer Länge von ca. 55 cm, einer Breite von ca. 49 cm und einer Höhe von ca. 88 cm passt er perfekt in jedes Esszimmer. Der Stuhl ist in verschiedenen Farben erhältlich, die Sie unter dem Reiter ""Farben"" finden. Das Innengestell besteht aus echtem Holz, was für Stabilität und Langlebigkeit sorgt.";60;https://varvara.de/NEW_JOBS/28_Absynth/GENERAL/27/1xSessel.jpg;AEA GmbH & Co. KG;Am Flugplatz 28;88483;Burgrieden;country_DE;1549.00;11;20;"Introducing the Modern Dining Chair Luxury Chairs Upholstered Furniture Fabric Design Wood New. Elevate your dining experience with this modern and luxurious chair. With dimensions of approximately 55 cm in length, 49 cm in width, and 88 cm in height, this chair is a perfect addition to any dining room. Choose from a variety of colors available under the ""Colors"" tab. The inner frame is made of real wood, ensuring stability and durability. Price: 1549 euro. Delivery in 60 days.";1940.00
mkp-C3C3C2C10;4062292581175;4062292581175;4062292581175;4062292581175;4062292581175;4062292581175;Set 4x Stühle Sessel Esszimmerstuhl Esszimmer Stühl Stoff Stuhl Holz Luxus Sitz;brand_MKT1371;brand_MKT1371;Dieses Set besteht aus 4 luxuriösen Esszimmerstühlen mit einem eleganten Design und großzügigen Abmessungen. Jeder Stuhl hat eine Länge von ca. 55 cm, eine Breite von ca. 49 cm und eine Höhe von ca. 88 cm. Sie können die Farbe frei wählen, um Ihren persönlichen Stil zu unterstreichen. Das Innengestell besteht aus echtem Holz, was für Stabilität und Langlebigkeit sorgt. Die Stühle sind mit hochwertigem Stoff oder Premium Kunstleder der Gruppe II bezogen, was ihnen ein luxuriöses Aussehen verleiht. Entdecken Sie die Vielfalt der Farben unter dem Reiter 'Farben' und wählen Sie Ihren Favoriten aus.;https://varvara.de/NEW_JOBS/28_Absynth/GENERAL/26/4xSessel.jpg;"https://varvara.de/NEW_JOBS/28_Absynth/GENERAL/26/x6.jpg;https://varvara.de/ROPZ/Aspen.jpg;https://varvara.de/ROPZ/Casablanca.jpg;https://varvara.de/ROPZ/Amore.jpg;https://varvara.de/ROPZ/Cosmic.jpg;https://varvara.de/ROPZ/Granada.jpg;https://varvara.de/ROPZ/Ontario.jpg;https://varvara.de/ROPZ/Soft.jpg";1;1;;color_gray;gray;material_wood;wood;49;49;55;55;88;88;brand_MKT1371;Set 4x Stühle Sessel Esszimmerstuhl Esszimmer Stühl Stoff Stuhl Holz Luxus Sitz;Dieses Set besteht aus 4 luxuriösen Esszimmerstühlen mit einem eleganten Design und großzügigen Abmessungen. Jeder Stuhl hat eine Länge von ca. 55 cm, eine Breite von ca. 49 cm und eine Höhe von ca. 88 cm. Sie können die Farbe frei wählen, um Ihren persönlichen Stil zu unterstreichen. Das Innengestell besteht aus echtem Holz, was für Stabilität und Langlebigkeit sorgt. Die Stühle sind mit hochwertigem Stoff oder Premium Kunstleder der Gruppe II bezogen, was ihnen ein luxuriöses Aussehen verleiht. Entdecken Sie die Vielfalt der Farben unter dem Reiter 'Farben' und wählen Sie Ihren Favoriten aus.;60;https://varvara.de/NEW_JOBS/28_Absynth/GENERAL/26/4xSessel.jpg;AEA GmbH & Co. KG;Am Flugplatz 28;88483;Burgrieden;country_DE;5899.00;11;20;Enhance your dining experience with this set of 4 luxurious dining chairs. Each chair measures approximately 55 cm in length, 49 cm in width, and 88 cm in height, providing ample space and comfort. Choose your preferred color to match your decor style. The chairs feature a sturdy wooden frame for stability. They are upholstered in high-quality fabric or premium synthetic leather from Group II, adding a touch of luxury. Explore the range of colors available under the 'Colors' tab and select your favorite. Price: 5899 euro. Delivery in 60 days.;6490.00
mkp-C3C3C2C10;4062292581168;4062292581168;4062292581168;4062292581168;4062292581168;4062292581168;Gruppe Sessel Esszimmerstuhl Esszimmer Stühle Lehnstuhl Garnitur Set 6 Sessel;brand_MKT1371;brand_MKT1371;"Dieser Gruppe Sessel Esszimmerstuhl ist ein elegantes und komfortables Möbelstück für Ihr Zuhause. Mit einer Länge von ca. 46 cm, einer Breite von ca. 50 cm und einer Höhe von ca. 73 cm bietet dieser Sessel aus echtem Holz eine stilvolle Sitzgelegenheit. Wählen Sie Ihre Lieblingsfarbe aus einer Vielzahl von Optionen unter dem Reiter ""Farben"". Das Material besteht entweder aus Stoff oder Premium Kunstleder. Dieser Sessel ist perfekt für Ihr Esszimmer und verleiht Ihrem Raum einen Hauch von Luxus und Eleganz.";https://varvara.de/NEW_JOBS/28_Absynth/GENERAL/25/6xSessel.jpg;"https://varvara.de/ROPZ/Aspen.jpg;https://varvara.de/ROPZ/Casablanca.jpg;https://varvara.de/ROPZ/Amore.jpg;https://varvara.de/ROPZ/Cosmic.jpg;https://varvara.de/ROPZ/Granada.jpg;https://varvara.de/ROPZ/Ontario.jpg;https://varvara.de/ROPZ/Soft.jpg";1;1;;color_white;white;material_wood;wood;50;50;46;46;73;73;brand_MKT1371;Gruppe Sessel Esszimmerstuhl Esszimmer Stühle Lehnstuhl Garnitur Set 6 Sessel;"Dieser Gruppe Sessel Esszimmerstuhl ist ein elegantes und komfortables Möbelstück für Ihr Zuhause. Mit einer Länge von ca. 46 cm, einer Breite von ca. 50 cm und einer Höhe von ca. 73 cm bietet dieser Sessel aus echtem Holz eine stilvolle Sitzgelegenheit. Wählen Sie Ihre Lieblingsfarbe aus einer Vielzahl von Optionen unter dem Reiter ""Farben"". Das Material besteht entweder aus Stoff oder Premium Kunstleder. Dieser Sessel ist perfekt für Ihr Esszimmer und verleiht Ihrem Raum einen Hauch von Luxus und Eleganz.";60;https://varvara.de/NEW_JOBS/28_Absynth/GENERAL/25/6xSessel.jpg;AEA GmbH & Co. KG;Am Flugplatz 28;88483;Burgrieden;country_DE;3349.00;11;20;"Indulge in luxury with this Group Armchair Dining Chair, a perfect addition to your home. With dimensions of approximately 46 cm in length, 50 cm in width, and 73 cm in height, this armchair made of genuine wood offers both style and comfort. Choose your favorite color from a range of options under the ""Colors"" tab. The material is either fabric or premium faux leather. Elevate your dining experience with this chair that exudes luxury and elegance.";3960.00
mkp-C3C3C2C10;4062292581151;4062292581151;4062292581151;4062292581151;4062292581151;4062292581151;Stühle Sessel Esszimmerstuhl Esszimmer Stühl Stoff Lehn Holz Luxus Sitz Neu;brand_MKT1371;brand_MKT1371;Dieser luxuriöse Esszimmerstuhl ist ein echter Blickfang für Ihr Zuhause. Mit einer Länge von ca. 46 cm, einer Breite von ca. 50 cm und einer Höhe von ca. 73 cm bietet er optimalen Sitzkomfort. Wählen Sie aus einer Vielzahl von Farben, die unter dem Reiter 'Farben' zu finden sind. Der Stuhl ist aus hochwertigem Stoff oder Premium Kunstleder der Gruppe II gefertigt (+ 199,00 Euro) und verfügt über ein stabiles Innengestell aus echtem Holz.;https://varvara.de/NEW_JOBS/28_Absynth/GENERAL/24/1xSessel.jpg;"https://varvara.de/ROPZ/Aspen.jpg;https://varvara.de/ROPZ/Casablanca.jpg;https://varvara.de/ROPZ/Amore.jpg;https://varvara.de/ROPZ/Cosmic.jpg;https://varvara.de/ROPZ/Granada.jpg;https://varvara.de/ROPZ/Ontario.jpg;https://varvara.de/ROPZ/Soft.jpg";1;1;2 Jahre;color_white;white;material_wood;wood;50;50;46;46;73;73;brand_MKT1371;Stühle Sessel Esszimmerstuhl Esszimmer Stühl Stoff Lehn Holz Luxus Sitz Neu;Dieser luxuriöse Esszimmerstuhl ist ein echter Blickfang für Ihr Zuhause. Mit einer Länge von ca. 46 cm, einer Breite von ca. 50 cm und einer Höhe von ca. 73 cm bietet er optimalen Sitzkomfort. Wählen Sie aus einer Vielzahl von Farben, die unter dem Reiter 'Farben' zu finden sind. Der Stuhl ist aus hochwertigem Stoff oder Premium Kunstleder der Gruppe II gefertigt (+ 199,00 Euro) und verfügt über ein stabiles Innengestell aus echtem Holz.;60;https://varvara.de/NEW_JOBS/28_Absynth/GENERAL/24/1xSessel.jpg;AEA GmbH & Co. KG;Am Flugplatz 28;88483;Burgrieden;country_DE;599.00;11;20;Enhance your dining experience with this luxurious dining chair. Measuring approximately 46 cm in length, 50 cm in width, and 73 cm in height, this chair offers both style and comfort. Choose from a range of colors available under the 'Colors' tab. Crafted from premium fabric or Group II premium faux leather (+ €199.00), this chair features a sturdy wooden frame. Price: 599 euro. Delivery in 60 days.;810.00
mkp-C3C1C15C27;4062292581144;4062292581144;4062292581144;4062292581144;4062292581144;4062292581144;Chaiselounge Chesterfield Liege design Club Chaise Polster Stoff Couch Sofa neu;brand_MKT1371;brand_MKT1371;"Diese elegante Chaiselounge Chesterfield Liege ist ein echter Blickfang für Ihr Zuhause. Mit einer Länge von ca. 190 cm, einer Breite von ca. 80 cm und einer Höhe von ca. 80 cm bietet sie ausreichend Platz zum Entspannen. Das Innengestell aus echtem Holz sorgt für Stabilität und Langlebigkeit. Wählen Sie Ihre Lieblingsfarbe aus einer Vielzahl von Optionen unter dem Reiter ""Farben"". Das Material besteht entweder aus hochwertigem Stoff oder Premium Kunstleder der Gruppe II (+ 199,00 Euro). Genießen Sie Luxus und Komfort mit diesem Club Chaise Polster Sofa.";https://varvara.de/NEW_JOBS/28_Absynth/GENERAL/22/Liege.jpg;"https://varvara.de/ROPZ/Aspen.jpg;https://varvara.de/ROPZ/Casablanca.jpg;https://varvara.de/ROPZ/Amore.jpg;https://varvara.de/ROPZ/Cosmic.jpg;https://varvara.de/ROPZ/Granada.jpg;https://varvara.de/ROPZ/Ontario.jpg;https://varvara.de/ROPZ/Soft.jpg";1;1;2 Jahre;color_gray;gray;material_wood;wood;80;80;190;190;80;80;brand_MKT1371;Chaiselounge Chesterfield Liege design Club Chaise Polster Stoff Couch Sofa neu;"Diese elegante Chaiselounge Chesterfield Liege ist ein echter Blickfang für Ihr Zuhause. Mit einer Länge von ca. 190 cm, einer Breite von ca. 80 cm und einer Höhe von ca. 80 cm bietet sie ausreichend Platz zum Entspannen. Das Innengestell aus echtem Holz sorgt für Stabilität und Langlebigkeit. Wählen Sie Ihre Lieblingsfarbe aus einer Vielzahl von Optionen unter dem Reiter ""Farben"". Das Material besteht entweder aus hochwertigem Stoff oder Premium Kunstleder der Gruppe II (+ 199,00 Euro). Genießen Sie Luxus und Komfort mit diesem Club Chaise Polster Sofa.";60;https://varvara.de/NEW_JOBS/28_Absynth/GENERAL/22/Liege.jpg;AEA GmbH & Co. KG;Am Flugplatz 28;88483;Burgrieden;country_DE;1799.00;11;20;"Indulge in luxury with this elegant Chaiselounge Chesterfield Liege. Measuring approximately 190 cm in length, 80 cm in width, and 80 cm in height, this piece offers ample space for relaxation. The genuine wood frame ensures stability and durability. Choose your favorite color from a range of options under the ""Colors"" tab. The material is either high-quality fabric or premium Group II faux leather (+ €199.00). Elevate your living space with this Club Chaise Upholstered Sofa.";2250.00
